Municipality,Province,year
PORTO AZZURRO,LI,2014
VARALLO POMBIA,NO,2014
CASALDUNI,BN,2014
SAN GIOVANNI IN FIORE,CS,2014
BAGHERIA,PA,2014
PALAGONIA,CT,2014
RAVISCANINA,CE,2014
PIANA DI MONTE VERNA,CE,2014
ROCCABASCERANA,AV,2014
SQUILLACE,CZ,2014
FEROLETO DELLA CHIESA,RC,2014
CERISANO,CS,2014
SAN MARCELLINO,CE,2014
VIAREGGIO,LU,2014
ARI,CH,2014
CASARANO,LE,2014
POTENZA,PZ,2014
SCORDIA,CT,2014
CHIARAVALLE CENTRALE,CZ,2014
SAN NICOLA LA STRADA,CE,2014
LACCO AMENO,NA,2015
LENTINI,SR,2015
GRIMALDI,CS,2015
BROLO,ME,2015
CEFALU',PA,2015
ORTA DI ATELLA,CE,2015
SCALETTA ZANCLEA,ME,2015
MIRABELLA IMBACCARI,CT,2015
RODI GARGANICO,FG,2015
SAN MARCO IN LAMIS,FG,2015
AUGUSTA,SR,2015
CANCELLO ED ARNONE,CE,2015
CIVITELLA MESSER RAIMONDO,CH,2015
QUINDICI,AV,2015
ROCCA DI NETO,KR,2015
CUTRO,KR,2015
CERRETO SANNITA,BN,2015
CIVITALUPARELLA,CH,2015
BARRAFRANCA,EN,2016
OFFAGNA,AN,2016
CARINI,PA,2016
NOCERA TERINESE,CZ,2016
CALVI,BN,2016
VILLA LITERNO,CE,2016
BOTRICELLO,CZ,2016
CASTELTERMINI,AG,2016
CAIVANO,NA,2016
BELCASTRO,CZ,2016
MUSSOMELI,CL,2016
VILLA DI BRIANO,CE,2016
PRATA DI PRINCIPATO ULTRA,AV,2016
ACATE,RG,2016
MONTECORVINO PUGLIANO,SA,2016
CIRO' MARINA,KR,2016
LAGONEGRO,PZ,2016
CARIATI,CS,2016
CALVI RISORTA,CE,2016
TORTORICI,ME,2016
PORTO EMPEDOCLE,AG,2016
BAGNARA CALABRA,RC,2016
MILAZZO,ME,2016
SAN LUCIDO,CS,2016
FAVARA,AG,2016
SAN FELICE A CANCELLO,CE,2016
SAN PAOLO DI CIVITATE,FG,2016
MELISSANO,LE,2016
SAN LORENZO,RC,2016
ACRI,CS,2016
BENEVENTO,BN,2017
MONTEPARANO,TA,2017
BADOLATO,CZ,2017
CERDA,PA,2017
CASTELDACCIA,PA,2017
FRAGNETO L'ABATE,BN,2017
BROLO,ME,2017
PORTOCANNONE,CB,2017
BELLEGRA,RM,2017
ALIFE,CE,2017
MAZZARRA' SANT'ANDREA,ME,2017
SAN CALOGERO,VV,2017
CASTEL CAMPAGNANO,CE,2017
AMANTEA,CS,2017
ARGENTERA,CN,2017
LOCRI,RC,2017
CORCHIANO,VT,2017
GIOIA TAURO,RC,2017
PIZZO,VV,2017
MURO LUCANO,PZ,2017
AZZANO MELLA,BS,2017
CHIEUTI,FG,2017
TAURIANOVA,RC,2017
SAN MANGO D'AQUINO,CZ,2017
ARDEA,RM,2017
BOVALINO,RC,2017
CASSARO,SR,2017
NICOTERA,VV,2018
SOMMATINO,CL,2018
TERNI,TR,2018
RIACE,RC,2018
BORGETTO,PA,2018
PIGNATARO INTERAMNA,FR,2018
MONREALE,PA,2018
MONTE PORZIO CATONE,RM,2018
ZAGARISE,CZ,2018
MANDATORICCIO,CS,2018
CASERTA,CE,2018
VIZZINI,CT,2018
ARAGONA,AG,2018
VILLARICCA,NA,2018
CAULONIA,RC,2018
BOLOGNETTA,PA,2018
CARDETO,RC,2018
CAMPIONE D'ITALIA,CO,2018
BACOLI,NA,2018
CASSINO,FR,2018
SAN LORENZO DEL VALLO,CS,2018
GIARRE,CT,2018
CANCELLO ED ARNONE,CE,2018
SANTA MARINELLA,RM,2018
CAROLEI,CS,2018
BOJANO,CB,2018
MONTEMILETTO,AV,2018
PARTINICO,PA,2018
MARANO DI NAPOLI,NA,2018
CATANIA,CT,2018
PIEDIMONTE MATESE,CE,2019
MELITO DI NAPOLI,NA,2019
SANT'AGATA DE' GOTI,BN,2019
MAGLIANO ROMANO,RM,2019
CASTELVETRANO,TP,2019
SAN FRATELLO,ME,2019
FRATTE ROSA,PU,2019
MOTTA SAN GIOVANNI,RC,2019
CRUCOLI,KR,2019
CASANDRINO,NA,2019
QUARTO,NA,2019
LAVAGNA,GE,2019
SANT'ARPINO,CE,2019
RANDAZZO,CT,2019
DINAMI,VV,2019
CASTROVILLARI,CS,2019
MARINEO,PA,2019
SAN LORENZO MAGGIORE,BN,2019
CERCHIARA DI CALABRIA,CS,2019
PAOLISI,BN,2019
PACHINO,SR,2019
NOLA,NA,2019
BRIATICO,VV,2019
PAGANI,SA,2019
ROSOLINI,SR,2019
BELVEDERE MARITTIMO,CS,2019
LUCERA,FG,2019
COSENZA,CS,2019
PORTICO DI CASERTA,CE,2019
MASSAROSA,LU,2019
MOROLO,FR,2019
CONDOFURI,RC,2019
SCANNO,AQ,2019
RIESI,CL,2019
CARAFFA DI CATANZARO,CZ,2020
FICARAZZI,PA,2020
MELITO DI PORTO SALVO,RC,2020
PALOMBARO,CH,2020
PIAZZA ARMERINA,EN,2020
GRUMO NEVANO,NA,2020
BELMONTE MEZZAGNO,PA,2020
FERRUZZANO,RC,2020
TURSI,MT,2020
FOPPOLO,BG,2020
VALLE DI MADDALONI,CE,2020
PALIZZI,RC,2020
CASORIA,NA,2020
LEONFORTE,EN,2020
POGGIO NATIVO,RI,2020
BUSCEMI,SR,2020
DRAGONI,CE,2020
GRUMO APPULA,BA,2020
PIETRASTORNINA,AV,2020
ARPINO,FR,2020
BRANCALEONE,RC,2020
ALTILIA,CS,2020
SANTA DOMENICA VITTORIA,ME,2020
BENESTARE,RC,2020
AIDONE,EN,2020
ISPICA,RG,2020
TRABIA,PA,2020
ACQUAPPESA,CS,2021
SANT'AGATA DI ESARO,CS,2021
MANIACE,CT,2021
DECOLLATURA,CZ,2021
MILITELLO ROSMARINO,ME,2021
MONGIARDINO LIGURE,AL,2021
BISIGNANO,CS,2021
SANT'ANTIMO,NA,2021
TAORMINA,ME,2021
SERRA SAN BRUNO,VV,2021
AMOROSI,BN,2021
TORA E PICCILLI,CE,2021
BARRAFRANCA,EN,2021
FLORIDIA,SR,2021
CASIGNANA,RC,2021
LUOGOSANO,AV,2021
SOVERIA MANNELLI,CZ,2021
GUARDIAGRELE,CH,2021
