municipalities,Province,Attraction,population
porto-azzurro,LI,G,3686
varallo-pombia,NO,P,4914
casalduni,BN,Q,1301
san-giovanni-in-fiore,CS,H,16852
bagheria,PA,P,54714
palagonia,CT,P,16488
raviscanina,CE,P,1288
piana-di-monte-verna,CE,P,2302
roccabascerana,AV,Q,2351
squillace,CZ,C,3652
feroleto-della-chiesa,RC,Q,1626
cerisano,CS,Q,3058
san-marcellino,CE,Q,14397
viareggio,LU,L1,62056
ari,CH,P,1142
casarano,LE,P,19976
potenza,PZ,E,66769
scordia,CT,P,16887
chiaravalle-centrale,CZ,P,5512
san-nicola-la-strada,CE,P,22615
lacco-ameno,NA,L2,4764
lentini,SR,P,23101
grimaldi,CS,Q,1643
brolo,ME,C,5773
cefalu,PA,G,14309
orta-di-atella,CE,P,27407
scaletta-zanclea,ME,Q,1972
mirabella-imbaccari,CT,P,4682
rodi-garganico,FG,L1,3619
san-marco-in-lamis,FG,P,13397
augusta,SR,C,35872
cancello-ed-arnone,CE,Q,5679
civitella-messer-raimondo,CH,Q,813
quindici,AV,Q,1894
rocca-di-neto,KR,Q,5638
cutro,KR,C,10410
cerreto-sannita,BN,P,3812
civitaluparella,CH,Q,320
barrafranca,EN,P,12800
offagna,AN,G,2025
carini,PA,P,39049
nocera-terinese,CZ,C,4800
calvi,BN,P,2627
villa-literno,CE,C,12324
botricello,CZ,C,5235
casteltermini,AG,P,7858
caivano,NA,Q,37554
belcastro,CZ,C,1302
mussomeli,CL,P,10405
villa-di-briano,CE,P,7200
prata-di-principato-ultra,AV,Q,2977
acate,RG,P,11431
montecorvino-pugliano,SA,P,10938
ciro-marina,KR,C,14715
lagonegro,PZ,H,5373
cariati,CS,C,8094
calvi-risorta,CE,Q,5687
tortorici,ME,P,6155
porto-empedocle,AG,C,16513
bagnara-calabra,RC,C,9979
milazzo,ME,C,31028
san-lucido,CS,C,6129
favara,AG,P,32059
san-felice-a-cancello,CE,Q,17395
san-paolo-di-civitate,FG,P,5711
melissano,LE,P,7064
san-lorenzo,RC,P,2546
acri,CS,P,20225
benevento,BN,B,59200
monteparano,TA,Q,2367
badolato,CZ,G,2939
cerda,PA,P,5130
