municipality,province,year,Prestiti,Spese per conto terzi,TOTALE SPESE,funzioni
PORTO AZZURRO,LI,2014,2848592,553776,8963329,5560962
VARALLO POMBIA,NO,2014,462594,295916,4743942,3708754
CASALDUNI,BN,2014,276580,136043,1488749,1076125
SAN GIOVANNI IN FIORE,CS,2014,308159,1445896,19822547,18068493
BAGHERIA,PA,2014,NA,NA,NA,NA
PALAGONIA,CT,2014,3224511,1788459,17751233,12738265
RAVISCANINA,CE,2014,311705,184381,1629120,1133036
PIANA DI MONTE VERNA,CE,2014,222917,209203,2648925,2216803
ROCCABASCERANA,AV,2014,100000,138134,2585798,2347664
SQUILLACE,CZ,2014,174400,230993,3781290,3375897
FEROLETO DELLA CHIESA,RC,2014,1207418,178702,2289078,902958
CERISANO,CS,2014,2147354,245967,5453538,3060216
SAN MARCELLINO,CE,2014,1782430,384133,5974554,3807991
VIAREGGIO,LU,2014,89464853,9012710,213254335,105858959
ARI,CH,2014,235436,66282,1553597,1251879
CASARANO,LE,2014,3098856,1571197,18800163,14130110
POTENZA,PZ,2014,92402145,8281690,204929598,104245766
SCORDIA,CT,2014,8066929,1824027,20999426,11108467
CHIARAVALLE CENTRALE,CZ,2014,1022121,479479,6224984,4723383
SAN NICOLA LA STRADA,CE,2014,14865507,1416805,28329246,12046934
LACCO AMENO,NA,2015,NA,NA,NA,NA
LENTINI,SR,2015,NA,NA,NA,NA
GRIMALDI,CS,2015,1117354,128929,2602587,1356304
BROLO,ME,2015,NA,NA,NA,NA
CEFALU',PA,2015,NA,NA,NA,NA
ORTA DI ATELLA,CE,2015,1460127,1297723,17244645,14486793
SCALETTA ZANCLEA,ME,2015,125531,542200,5782245,5114516
MIRABELLA IMBACCARI,CT,2015,NA,NA,NA,NA
RODI GARGANICO,FG,2015,231820,392693,7963954,7339441
SAN MARCO IN LAMIS,FG,2015,3496753,757185,12971847,8717911
AUGUSTA,SR,2015,2383279,2353731,36557919,31820911
CANCELLO ED ARNONE,CE,2015,NA,NA,NA,NA
CIVITELLA MESSER RAIMONDO,CH,2015,141331,74152,1112015,896534
QUINDICI,AV,2015,36344,312173,2019751,1671233
ROCCA DI NETO,KR,2015,429656,417207,4519972,3673112
CUTRO,KR,2015,383482,1006339,10339137,8949318
CERRETO SANNITA,BN,2015,578336,497659,7117130,6041133
CIVITALUPARELLA,CH,2015,109606,45009,787064,632449
BARRAFRANCA,EN,2016,NA,NA,NA,NA
OFFAGNA,AN,2016,NA,NA,NA,NA
CARINI,PA,2016,NA,NA,NA,NA
NOCERA TERINESE,CZ,2016,NA,NA,NA,NA
CALVI,BN,2016,NA,NA,NA,NA
VILLA LITERNO,CE,2016,NA,NA,NA,NA
BOTRICELLO,CZ,2016,NA,NA,NA,NA
CASTELTERMINI,AG,2016,NA,NA,NA,NA
CAIVANO,NA,2016,NA,NA,NA,NA
BELCASTRO,CZ,2016,NA,NA,NA,NA
MUSSOMELI,CL,2016,NA,NA,NA,NA
VILLA DI BRIANO,CE,2016,NA,NA,NA,NA
PRATA DI PRINCIPATO ULTRA,AV,2016,NA,NA,NA,NA
ACATE,RG,2016,NA,NA,NA,NA
MONTECORVINO PUGLIANO,SA,2016,NA,NA,NA,NA
CIRO' MARINA,KR,2016,NA,NA,NA,NA
LAGONEGRO,PZ,2016,NA,NA,NA,NA
CARIATI,CS,2016,NA,NA,NA,NA
CALVI RISORTA,CE,2016,NA,NA,NA,NA
TORTORICI,ME,2016,NA,NA,NA,NA
PORTO EMPEDOCLE,AG,2016,NA,NA,NA,NA
BAGNARA CALABRA,RC,2016,NA,NA,NA,NA
MILAZZO,ME,2016,NA,NA,NA,NA
SAN LUCIDO,CS,2016,NA,NA,NA,NA
FAVARA,AG,2016,NA,NA,NA,NA
SAN FELICE A CANCELLO,CE,2016,NA,NA,NA,NA
SAN PAOLO DI CIVITATE,FG,2016,NA,NA,NA,NA
MELISSANO,LE,2016,NA,NA,NA,NA
SAN LORENZO,RC,2016,NA,NA,NA,NA
ACRI,CS,2016,NA,NA,NA,NA
