municipality,province,year,ACCENSIONE PRESTITI,ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",ENTRATE DA RIDUZIONE DI ATTIVITÀ FINANZIARIE,ENTRATE EXTRATRIBUTARIE,ENTRATE IN CONTO CAPITALE,ENTRATE PER CONTO TERZI E PARTITE DI GIRO,TOTALE ENTRATE,TRASFERIMENTI CORRENTI
BENEVENTO,BN,2017,764285,59370319,42182191,0,3749157,11764561,16617742,143273023,8824769
MONTEPARANO,TA,2017,0,1325125,607722,0,149521,277199,213010,3203971,631395
BADOLATO,CZ,2017,861476,0,1173213,0,264810,543284,1042639,4238836,353414
CERDA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASTELDACCIA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRAGNETO L'ABATE,BN,2017,59573,0,612723,0,93674,1732721,1813575,4348628,36363
BROLO,ME,2017,0,0,0,0,0,0,0,0,0
PORTOCANNONE,CB,2017,0,3700708,2112100,0,612465,2244993,457490,14246478,5118722
BELLEGRA,RM,2017,0,1976336,1512316,0,174864,222583,478153,4762211,397959
ALIFE,CE,2017,0,0,0,0,0,0,0,0,0
MAZZARRA' SANT'ANDREA,ME,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN CALOGERO,VV,2017,568487,75454,1771026,0,674380,221257,327858,3822534,184072
CASTEL CAMPAGNANO,CE,2017,6950,1528401,917134,0,165589,676141,268495,3593364,30655
AMANTEA,CS,2017,8618742,11977590,22727961,0,14815684,9079907,3150768,75015388,4644737
ARGENTERA,CN,2017,0,0,0,0,0,0,0,0,0
LOCRI,RC,2017,480263,0,4921560,0,1905414,763906,2938334,12274392,1264915
CORCHIANO,VT,2017,65351,3000000,3076058,0,800190,764727,589093,8912081,616661
GIOIA TAURO,RC,2017,1103,10000000,8526801,846,7484662,2563598,1855333,34175028,3742685
PIZZO,VV,2017,26875,191347,4824114,0,1429618,484641,4628778,12606816,1021443
MURO LUCANO,PZ,2017,0,5823906,2193095,0,357355,652807,1439540,13214154,2747450
AZZANO MELLA,BS,2017,71313,0,1966544,0,353742,690714,279339,3459620,97969
CHIEUTI,FG,2017,0,144778,1188676,0,179366,529212,4299388,6436307,94888
TAURIANOVA,RC,2017,166293,0,5876779,0,1139174,343146,17603028,26900878,1772458
SAN MANGO D'AQUINO,CZ,2017,144177,662192,943009,0,129825,21135,1521275,3829012,407397
ARDEA,RM,2017,232695,0,25244650,0,2585300,2343367,3095078,37693848,4192758
BOVALINO,RC,2017,196700,0,2823212,0,992293,540318,546930,6073173,973721
CASSARO,SR,2017,0,195237,361995,0,92352,24709,1537164,2735265,523808
NICOTERA,VV,2018,0,0,2803977,0,635356,394928,583508,4474393,56624
SOMMATINO,CL,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
TERNI,TR,2018,17673659,110440305,117505113,4491,52562440,63362057,49089524,432621971,21984382
RIACE,RC,2018,73291,0,515757,0,115418,87246,259169,4629786,3578904
BORGETTO,PA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGNATARO INTERAMNA,FR,2018,15918,3258317,1145077,0,439106,554585,2075733,7714585,225848
MONREALE,PA,2018,223123,9300754,12807849,0,3659593,1836599,31990454,67696492,7878120
MONTE PORZIO CATONE,RM,2018,374434,3563303,9045445,0,3683966,1758824,25532247,47087198,3128979
ZAGARISE,CZ,2018,0,1191421,751792,0,235989,137530,219007,2693417,157678
MANDATORICCIO,CS,2018,24223,4000000,3180089,0,3219670,756044,3617060,15013316,216230
CASERTA,CE,2018,350000,25000000,72238050,0,17107593,24538217,110850000,261650291,11566431
VIZZINI,CT,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARAGONA,AG,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
VILLARICCA,NA,2018,131499,10999638,11276100,0,3931607,815921,5576324,32784668,53579
CAULONIA,RC,2018,417195,7063850,3195529,0,836085,185031,5427119,20524108,3399298
BOLOGNETTA,PA,2018,0,4000000,4856207,0,155900,891840,1474000,12341547,963600
CARDETO,RC,2018,292338,300000,624524,0,504248,3452417,1310077,7894919,1411315
CAMPIONE D'ITALIA,CO,2018,0,18105984,21977793,0,2001150,1013082,12945984,63488728,7444735
