municipalities,Province,inhabitants,SizeCategory
porto-azzurro,LI,3885.0,Small
varallo-pombia,NO,5049.0,Medium
casalduni,BN,1458.0,Small
san-giovanni-in-fiore,CS,17898.0,Medium
bagheria,PA,56646.0,Large
palagonia,CT,16596.0,Medium
raviscanina,CE,1354.0,Small
piana-di-monte-verna,CE,2382.0,Small
roccabascerana,AV,2366.0,Small
squillace,CZ,3502.0,Small
feroleto-della-chiesa,RC,1743.0,Small
cerisano,CS,3281.0,Small
san-marcellino,CE,13585.0,Medium
viareggio,LU,64503.0,Metropolitan
ari,CH,1177.0,Small
casarano,LE,20419.0,Large
potenza,PZ,67428.0,Metropolitan
scordia,CT,17213.0,Medium
chiaravalle-centrale,CZ,5816.0,Medium
san-nicola-la-strada,CE,22044.0,Large
lacco-ameno,,4678.0,Small
lentini,SR,23500.0,Large
grimaldi,CS,1749.0,Small
brolo,ME,5846.0,Medium
cefalu,PA,14393.0,Medium
orta-di-atella,CE,23322.0,Large
scaletta-zanclea,ME,2238.0,Small
mirabella-imbaccari,CT,5548.0,Medium
rodi-garganico,FG,3706.0,Small
san-marco-in-lamis,FG,14444.0,Medium
augusta,SR,36075.0,Large
cancello-ed-arnone,CE,5582.0,Medium
civitella-messer-raimondo,CH,861.0,Small
quindici,AV,2447.0,Small
rocca-di-neto,KR,5580.0,Medium
cutro,KR,10252.0,Medium
cerreto-sannita,BN,4040.0,Small
civitaluparella,CH,349.0,Small
barrafranca,EN,,Metropolitan
offagna,AN,1984.0,Small
carini,PA,38627.0,Large
nocera-terinese,CZ,4742.0,Small
calvi,BN,2657.0,Small
villa-literno,CE,12038.0,Medium
botricello,CZ,5254.0,Medium
casteltermini,AG,,Metropolitan
caivano,,37790.0,Large
belcastro,CZ,1413.0,Small
mussomeli,CL,,Metropolitan
villa-di-briano,CE,7029.0,Medium
prata-di-principato-ultra,AV,2959.0,Small
acate,RG,11182.0,Medium
montecorvino-pugliano,SA,10798.0,Medium
ciro-marina,KR,14847.0,Medium
lagonegro,PZ,5490.0,Medium
cariati,CS,8250.0,Medium
calvi-risorta,CE,5678.0,Medium
tortorici,ME,6318.0,Medium
porto-empedocle,AG,,Metropolitan
bagnara-calabra,RC,10150.0,Medium
milazzo,ME,31473.0,Large
san-lucido,CS,6036.0,Medium
favara,AG,,Metropolitan
san-felice-a-cancello,CE,17560.0,Medium
san-paolo-di-civitate,FG,5777.0,Medium
melissano,LE,7173.0,Medium
san-lorenzo,RC,2625.0,Small
acri,CS,20623.0,Large
benevento,BN,59789.0,Large
monteparano,TA,2379.0,Small
badolato,CZ,2974.0,Small
cerda,PA,,Metropolitan
casteldaccia,PA,,Metropolitan
fragneto-labate,BN,1020.0,Small
brolo,ME,5767.0,Medium
portocannone,CB,2490.0,Small
bellegra,RM,2841.0,Small
alife,CE,7638.0,Medium
mazzarra-santandrea,ME,,Metropolitan
san-calogero,VV,4178.0,Small
castel-campagnano,CE,1528.0,Small
amantea,CS,13975.0,Medium
argentera,CN,78.0,Small
locri,RC,12367.0,Medium
corchiano,VT,3793.0,Small
gioia-tauro,RC,20076.0,Large
pizzo,VV,9329.0,Medium
muro-lucano,PZ,5344.0,Medium
azzano-mella,BS,3332.0,Small
chieuti,FG,1675.0,Small
taurianova,RC,15501.0,Medium
san-mango-daquino,CZ,1526.0,Small
ardea,RM,49663.0,Large
bovalino,RC,8898.0,Medium
