municipalities,Province,inhabitants
porto-azzurro,LI,3885.0
varallo-pombia,NO,5049.0
casalduni,BN,1458.0
san-giovanni-in-fiore,CS,17898.0
bagheria,PA,56646.0
palagonia,CT,16596.0
raviscanina,CE,1354.0
piana-di-monte-verna,CE,2382.0
roccabascerana,AV,2366.0
squillace,CZ,3502.0
feroleto-della-chiesa,RC,1743.0
cerisano,CS,3281.0
san-marcellino,CE,13585.0
viareggio,LU,64503.0
ari,CH,1177.0
casarano,LE,20419.0
potenza,PZ,67428.0
scordia,CT,17213.0
chiaravalle-centrale,CZ,5816.0
san-nicola-la-strada,CE,22044.0
lacco-ameno,,4678.0
lentini,SR,23500.0
grimaldi,CS,1749.0
brolo,ME,5846.0
cefalu,PA,14393.0
orta-di-atella,CE,23322.0
scaletta-zanclea,ME,2238.0
mirabella-imbaccari,CT,5548.0
rodi-garganico,FG,3706.0
san-marco-in-lamis,FG,14444.0
augusta,SR,36075.0
cancello-ed-arnone,CE,5582.0
civitella-messer-raimondo,CH,861.0
quindici,AV,2447.0
rocca-di-neto,KR,5580.0
cutro,KR,10252.0
cerreto-sannita,BN,4040.0
civitaluparella,CH,349.0
barrafranca,EN,
offagna,AN,1984.0
carini,PA,38627.0
nocera-terinese,CZ,4742.0
calvi,BN,2657.0
villa-literno,CE,12038.0
botricello,CZ,5254.0
casteltermini,AG,
caivano,,37790.0
belcastro,CZ,1413.0
mussomeli,CL,
villa-di-briano,CE,7029.0
prata-di-principato-ultra,AV,2959.0
acate,RG,11182.0
montecorvino-pugliano,SA,10798.0
ciro-marina,KR,14847.0
lagonegro,PZ,5490.0
cariati,CS,8250.0
calvi-risorta,CE,5678.0
tortorici,ME,6318.0
porto-empedocle,AG,
bagnara-calabra,RC,10150.0
milazzo,ME,31473.0
san-lucido,CS,6036.0
favara,AG,
san-felice-a-cancello,CE,17560.0
san-paolo-di-civitate,FG,5777.0
melissano,LE,7173.0
san-lorenzo,RC,2625.0
acri,CS,20623.0
benevento,BN,59789.0
monteparano,TA,2379.0
badolato,CZ,2974.0
cerda,PA,
casteldaccia,PA,
fragneto-labate,BN,1020.0
brolo,ME,5767.0
portocannone,CB,2490.0
bellegra,RM,2841.0
alife,CE,7638.0
mazzarra-santandrea,ME,
san-calogero,VV,4178.0
castel-campagnano,CE,1528.0
amantea,CS,13975.0
argentera,CN,78.0
locri,RC,12367.0
corchiano,VT,3793.0
gioia-tauro,RC,20076.0
pizzo,VV,9329.0
muro-lucano,PZ,5344.0
azzano-mella,BS,3332.0
chieuti,FG,1675.0
taurianova,RC,15501.0
san-mango-daquino,CZ,1526.0
ardea,RM,49663.0
bovalino,RC,8898.0
cassaro,SR,779.0
nicotera,VV,6208.0
sommatino,CL,6777.0
terni,TR,110749.0
riace,RC,2321.0
borgetto,PA,7359.0
pignataro-interamna,FR,2499.0
monreale,PA,38884.0
monte-porzio-catone,RM,8758.0
zagarise,CZ,1582.0
mandatoriccio,CS,2741.0
caserta,CE,75430.0
vizzini,CT,6029.0
aragona,AG,9362.0
villaricca,,31182.0
caulonia,RC,7119.0
bolognetta,PA,4194.0
cardeto,RC,1521.0
campione-ditalia,CO,1961.0
bacoli,,26245.0
cassino,FR,36612.0
san-lorenzo-del-vallo,CS,3306.0
giarre,CT,27444.0
cancello-ed-arnone,CE,5679.0
santa-marinella,RM,18933.0
carolei,CS,3335.0
bojano,CB,8033.0
montemiletto,AV,5248.0
partinico,PA,31840.0
marano-di-napoli,,60163.0
catania,CT,311584.0
piedimonte-matese,CE,10604.0
melito-di-napoli,,35848.0
santagata-de-goti,BN,10785.0
magliano-romano,RM,1455.0
castelvetrano,TP,30540.0
san-fratello,ME,3462.0
fratte-rosa,PU,917.0
motta-san-giovanni,RC,5805.0
crucoli,KR,2926.0
casandrino,,13561.0
quarto,,39451.0
lavagna,GE,12440.0
santarpino,CE,14831.0
randazzo,CT,10579.0
dinami,VV,1977.0
castrovillari,CS,21666.0
marineo,PA,6313.0
san-lorenzo-maggiore,BN,2021.0
cerchiara-di-calabria,CS,2325.0
paolisi,BN,2052.0
pachino,SR,21758.0
nola,,34266.0
briatico,VV,4189.0
pagani,SA,35129.0
rosolini,SR,20750.0
belvedere-marittimo,CS,9172.0
lucera,FG,32194.0
cosenza,CS,65623.0
portico-di-caserta,CE,7840.0
massarosa,LU,21615.0
morolo,FR,3214.0
condofuri,RC,4861.0
scanno,AQ,1767.0
riesi,CL,10985.0
caraffa-di-catanzaro,CZ,1732.0
ficarazzi,PA,12768.0
melito-di-porto-salvo,RC,10650.0
palombaro,CH,975.0
piazza-armerina,EN,20749.0
grumo-nevano,,17274.0
belmonte-mezzagno,PA,10905.0
ferruzzano,RC,771.0
tursi,MT,4849.0
foppolo,BG,172.0
valle-di-maddaloni,CE,2631.0
palizzi,RC,2097.0
casoria,,74115.0
leonforte,EN,12583.0
poggio-nativo,RI,2513.0
buscemi,SR,978.0
dragoni,CE,1998.0
grumo-appula,BA,12298.0
pietrastornina,AV,1429.0
arpino,FR,6898.0
brancaleone,RC,3314.0
altilia,CS,671.0
santa-domenica-vittoria,ME,871.0
benestare,RC,2469.0
aidone,EN,4389.0
ispica,RG,16127.0
trabia,PA,10279.0
acquappesa,CS,1743.0
santagata-di-esaro,CS,1715.0
maniace,CT,3768.0
decollatura,CZ,2920.0
militello-rosmarino,ME,1174.0
mongiardino-ligure,AL,154.0
bisignano,CS,9614.0
santantimo,,32576.0
taormina,ME,10473.0
serra-san-bruno,VV,6355.0
amorosi,BN,2641.0
tora-e-piccilli,CE,792.0
barrafranca,EN,
floridia,SR,21471.0
casignana,RC,707.0
luogosano,AV,1097.0
soveria-mannelli,CZ,2903.0
guardiagrele,CH,8548.0
villa-san-giovanni,RC,12920.0
fiumefreddo-di-sicilia,CT,9128.0
palagonia,CT,15802.0
itala,ME,1495.0
naro,AG,7051.0
mariglianella,,7832.0
frascati,RM,22705.0
canicatti,AG,34588.0
calatabiano,CT,5167.0
crosia,CS,9630.0
afragola,,62198.0
caltagirone,CT,36058.0
amendolara,CS,2760.0
bolognano,PE,1024.0
tortorici,ME,5792.0
carinola,CE,7216.0
joppolo,VV,1671.0
pedara,CT,14915.0
frignano,CE,9010.0
ceretto-lomellina,PV,178.0
casacanditella,CH,1170.0
gualtieri-sicamino,ME,1591.0
malvagna,ME,639.0
san-daniele-po,CR,1291.0
noto,SR,23905.0
santo-stefano-roero,CN,1325.0
pizzone,IS,315.0
pietradefusi,AV,1965.0
graniti,ME,1449.0
paolisi,BN,2007.0
grotteria,RC,2881.0
santa-venerina,CT,8421.0
santangelo-a-fasanella,SA,514.0
niscemi,CL,25179.0
isola-delle-femmine,PA,7084.0
petrosino,TP,7962.0
gioia-sannitica,CE,3357.0
ustica,PA,1307.0
montelanico,RM,2066.0
oliveri,ME,2048.0
mazzarino,CL,
chieti,CH,48666.0
pietrapaola,CS,1021.0
torrice,FR,4733.0
pietradefusi,AV,1965.0
caccamo,PA,7747.0
orta-di-atella,CE,27118.0
chiaramonte-gulfi,RG,8024.0
volla,,25369.0
aci-catena,CT,28124.0
moio-alcantara,ME,685.0
milo,CT,1038.0
gela,CL,71937.0
bassiano,LT,1461.0
barcellona-pozzo-di-gotto,ME,40029.0
genazzano,RM,5611.0
santalfio,CT,1518.0
camastra,AG,1947.0
capizzi,ME,2888.0
