Municipality,Province,Population,Attraction
Romentino,NO,5.621,P
Lercara Friddi,PA,6.726,P
Trecastagni,CT,11.092,P
Quindici,AV,1.894,Q
Isca sullo Ionio,CZ,1581.0,C
Molochio,RC,2454.0,Q
Santo Stefano di Rogliano,CS,1713.0,Q
Santa Maria la Fossa,CE,2.649,Q
Lucca,LU,88.824,L1
Arielli,CH,1.113,P
Martano,LE,9.005,P
Rionero in Vulture,PZ,13.101,E
Bronte,CT,18.856,P
Carlopoli,CZ,1497.0,P
Agerola,NA,7.748,L2
Avola,SR,31.218,P
Canna,CS,705.0,Q
Gioiosa Marea,ME,6.904,C
Santa Flavia,PA,11.208,G
Librizzi,ME,1.616,Q
Militello in Val di Catania,CT,7.186,P
Ischitella,FG,4.384,L1
Orta Nova,FG,17.584,P
Melilli,SR,13.611,C
Santa Maria la Fossa,CE,2.649,Q
Carunchio,CH,636.0,Q
Parolise,AV,660.0,Q
Mesoraca,KR,6277.0,Q
Cirò Marina,KR,14715.0,C
Castelpagano,BN,1447.0,P
Celenza sul Trigno,CH,895.0,Q
Barrafranca,EN,12.8,P
Morro d'Alba,AN,1.854,G
Partinico,PA,31.84,P
Squillace,CZ,3652.0,C
Pontelandolfo,BN,2.119,P
Curinga,CZ,6686.0,C
Canicattì,AG,35.778,P
Sant'Anastasia,NA,27.123,Q
Isca sullo Ionio,CZ,1581.0,C
Serradifalco,CL,5.891,P
Moschiano,AV,1.629,Q
Comiso,RG,30.073,P
San Marzano sul Sarno,SA,10.539,P
Cirò Marina,KR,14715.0,C
Marsicovetere,PZ,5.561,H
Fuscaldo,CS,8160.0,C
Santa Maria la Fossa,CE,2.649,Q
Barcellona Pozzo di Gotto,ME,41.221,P
Ribera,AG,18.711,C
Marina di Gioiosa Ionica,RC,6541.0,C
Piraino,ME,3.904,C
Paola,CS,15688.0,C
Favara,AG,32.059,P
Santa Maria la Fossa,CE,2.649,Q
Orta Nova,FG,17.584,P
Cavallino,LE,12.829,P
Mammola,RC,2689.0,P
Acri,CS,20225.0,P
Montemesola,TA,3763.0,Q
Guardavalle,CZ,4505.0,G
Bisacquino,PA,4.387,P
Ficarazzi,PA,13.006,P
Gioiosa Marea,ME,6.904,C
Gerano,RM,1230.0,Q
Santa Maria la Fossa,CE,2.649,Q
Mandanici,ME,569.0,Q
Rombiolo,VV,4489.0,Q
Paola,CS,15688.0,C
Polistena,RC,10361.0,P
Oriolo Romano,VT,3819.0,P
Melito di Porto Salvo,RC,11217.0,P
Maierato,VV,2138.0,G
Palazzo San Gervasio,PZ,4.766,P
Alfianello,BS,2.45,Q
Locri,RC,12421.0,P
San Vito sullo Ionio,CZ,1723.0,Q
Nettuno,RM,49995.0,C
Cittanova,RC,10247.0,P
Tropea,VV,6269.0,C
Riesi,CL,11.291,P
Siderno,RC,18147.0,C
Altofonte,PA,10.127,Q
San Pietro a Maida,CZ,4067.0,P
Mandatoriccio,CS,2741.0,C
Ragalna,CT,4.02,P
Ravanusa,AG,11.327,P
Arzano,NA,34.19,P
Marina di Gioiosa Ionica,RC,6541.0,C
Bisacquino,PA,4.387,P
Fiumara,RC,915.0,Q
Blevio,CO,1.184,D
Mormanno,CS,2883.0,P
Ragalna,CT,4.02,P
Santa Maria la Fossa,CE,2.649,Q
Fagnano Castello,CS,3788.0,P
Paternopoli,AV,2.307,P
Castellana Sicula,PA,3.256,P
Sant'Anastasia,NA,27.123,Q
Boscotrecase,NA,9.123,P
Pontelandolfo,BN,2.119,P
Civitella San Paolo,RM,2032.0,Q
Galati Mamertino,ME,2.464,Q
Belforte all'Isauro,PU,741.0,P
Marina di Gioiosa Ionica,RC,6541.0,C
Scandale,KR,3094.0,Q
Sant'Anastasia,NA,27.123,Q
Sant'Anastasia,NA,27.123,Q
Santa Maria la Fossa,CE,2.649,Q
Nicolosi,CT,7.484,H
Rombiolo,VV,4489.0,Q
Montalto Uffugo,CS,20491.0,P
Ficarazzi,PA,13.006,P
Pontelandolfo,BN,2.119,P
Mormanno,CS,2883.0,P
Pontelandolfo,BN,2.119,P
Buccheri,SR,1.924,P
Ercolano,NA,53.576,B
