Municipality,Province,Population,Attraction
Romentino,NO,5.621,P
Quindici,AV,1.894,Q
Squillace,CZ,3652.0,C
Galatro,RC,1624.0,Q
Francavilla Marittima,CS,2875.0,Q
Ripa Teatina,CH,4.041,P
Francavilla Marittima,CS,2875.0,Q
Galati Mamertino,ME,2.464,Q
Militello in Val di Catania,CT,7.186,P
Ischitella,FG,4.384,L1
Carunchio,CH,636.0,Q
San Sossio Baronia,AV,1.598,Q
Mesoraca,KR,6277.0,Q
Cirò Marina,KR,14715.0,C
Pontelandolfo,BN,2.119,P
Celenza sul Trigno,CH,895.0,Q
Morro d'Alba,AN,1.854,G
Isca sullo Ionio,CZ,1581.0,C
Pontelandolfo,BN,2.119,P
Soverato,CZ,9030.0,C
Squillace,CZ,3652.0,C
Morra De Sanctis,AV,1.212,Q
Cirò Marina,KR,14715.0,C
Cariati,CS,8094.0,C
Siderno,RC,18147.0,C
Paola,CS,15688.0,C
Mammola,RC,2689.0,P
Montalto Uffugo,CS,20491.0,P
Montemesola,TA,3763.0,Q
Guardavalle,CZ,4505.0,G
Civitella San Paolo,RM,2032.0,Q
Santa Lucia del Mela,ME,4.582,Q
Fabrizia,VV,2117.0,Q
Paola,CS,15688.0,C
Rizziconi,RC,7775.0,P
Oriolo Romano,VT,3819.0,P
Alfianello,BS,2.45,Q
Melito di Porto Salvo,RC,11217.0,P
San Vito sullo Ionio,CZ,1723.0,Q
Nettuno,RM,49995.0,C
Polistena,RC,10361.0,P
Tropea,VV,6269.0,C
Petrizzi,CZ,1103.0,P
Calopezzati,CS,1375.0,C
Marina di Gioiosa Ionica,RC,6541.0,C
Lercara Friddi,PA,6.726,P
Molochio,RC,2454.0,Q
Blevio,CO,1.184,D
Buonvicino,CS,2186.0,P
Fagnano Castello,CS,3788.0,P
Poli,RM,2340.0,Q
Mandanici,ME,569.0,Q
Belforte all'Isauro,PU,741.0,P
Siderno,RC,18147.0,C
Casabona,KR,2548.0,Q
Rombiolo,VV,4489.0,Q
Acri,CS,20225.0,P
Castelpagano,BN,1447.0,P
Fagnano Castello,CS,3788.0,P
Castelpagano,BN,1447.0,P
Ricadi,VV,4976.0,C
Praia a Mare,CS,6657.0,G
Castro dei Volsci,FR,4702.0,P
Roccaraso,AQ,1.661,H
Carlopoli,CZ,1497.0,P
Rizziconi,RC,7775.0,P
Ripa Teatina,CH,4.041,P
Molochio,RC,2454.0,Q
Irsina,MT,4.737,P
Santa Maria la Fossa,CE,2.649,Q
Mammola,RC,2689.0,P
Floridia,SR,22.665,P
Caposele,AV,3.391,P
Mongrassano,CS,1549.0,Q
Fiumara,RC,915.0,Q
Leonforte,EN,12.962,P
Albidona,CS,1268.0,L2
Santo Stefano di Rogliano,CS,1713.0,Q
Biancavilla,CT,23.832,P
Petrizzi,CZ,1103.0,P
Castroreale,ME,2.37,Q
Momperone,AL,210.0,P
Crosia,CS,9948.0,P
Pontelandolfo,BN,2.119,P
Santa Maria la Fossa,CE,2.649,Q
Lauro,AV,3.478,P
Serrastretta,CZ,3100.0,Q
Marina di Gioiosa Ionica,RC,6541.0,C
Rodì Milici,ME,2.006,Q
Luzzi,CS,9151.0,P
Mandatoriccio,CS,2741.0,C
Farindola,PE,1.438,P
Parghelia,VV,1288.0,C
Galliavola,PV,195.0,Q
Lanciano,CH,34.899,P
Castroreale,ME,2.37,Q
Rodì Milici,ME,2.006,Q
Ricengo,CR,1.731,Q
Polonghera,CN,1.14,Q
Montefusco,AV,1.286,P
Ficarra,ME,1.394,C
Pontelandolfo,BN,2.119,P
Fiumara,RC,915.0,Q
Ottati,SA,602.0,Q
Altavilla Milicia,PA,8.349,C
Sant'Alessio Siculo,ME,1.532,C
Bonifati,CS,2766.0,C
Castro dei Volsci,FR,4702.0,P
Rotondi,AV,3.606,P
Motta d'Affermo,ME,700.0,Q
Zafferana Etnea,CT,9.625,B
Cianciana,AG,3.372,Q
Castroreale,ME,2.37,Q
