Municipality,Province,Population,Attraction
porto-azzurro,LI,3686,G
casalduni,BN,1301,Q
san-giovanni-in-fiore,CS,16852,H
raviscanina,CE,1288,P
piana-di-monte-verna,CE,2302,P
san-nicola-la-strada,CE,22615,P
orta-di-atella,CE,27407,P
villa-literno,CE,12324,C
villa-di-briano,CE,7200,P
benevento,BN,59200,B
fragneto-labate,BN,1010,Q
portocannone,CB,2458,P
castel-campagnano,CE,1501,P
argentera,CN,77,E
chieuti,FG,1656,C
cassaro,SR,769,Q
terni,TR,110749,B
pignataro-interamna,FR,2499,Q
monreale,PA,38884,B
monte-porzio-catone,RM,8758,P
caserta,CE,75430,B
bacoli,NA,26245,F
cassino,FR,36612,B
santa-marinella,RM,18933,G
bojano,CB,8033,P
catania,CT,311584,A
piedimonte-matese,CE,10835,P
castelvetrano,TP,31151,G
lavagna,GE,12566,C
massarosa,LU,22322,L2
condofuri,RC,4998,G
foppolo,BG,186,E
poggio-nativo,RI,2549,Q
dragoni,CE,2105,P
arpino,FR,7093,B
santa-domenica-vittoria,ME,930,E
serra-san-bruno,VV,6584,P
frascati,RM,22657,P
carinola,CE,7342,P
noto,SR,24192,G
pizzone,IS,305,Q
niscemi,CL,26627,Q
gioia-sannitica,CE,3533,P
montelanico,RM,2091,P
chieti,CH,50646,B
orta-di-atella,CE,27407,P
chiaramonte-gulfi,RG,8128,E
milo,CT,1054,L1
bassiano,LT,1508,Q
genazzano,RM,5864,P
